City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cairns,AU,-16.9167,145.7667,67.95,82,40,10.36,scattered clouds
80,Hilo,US,19.7297,-155.09,74.62,89,100,5.75,overcast clouds
81,Carnarvon,AU,-24.8667,113.6333,70.81,68,7,9.6,clear sky
82,Druzhba,UA,52.0428,33.9453,62.2,90,76,5.26,light rain
83,Faanui,PF,-16.4833,-151.75,78.08,77,81,21.74,light rain
84,Oktyabrskoye,RU,43.0645,44.7417,71.74,83,75,6.71,broken clouds
85,Atambua,ID,-9.1061,124.8925,69.76,84,53,6.13,broken clouds
86,Tazovskiy,RU,67.4667,78.7,46.6,90,97,19.35,overcast clouds
87,Nuuk,GL,64.1835,-51.7216,40.87,93,99,8.01,overcast clouds
88,Adelanto,US,34.5828,-117.4092,88.74,18,0,2.3,clear sky
89,Geraldton,AU,-28.7667,114.6,64.81,88,100,10.36,overcast clouds
90,Hobart,AU,-42.8794,147.3294,46.26,89,100,6.91,overcast clouds
91,Mehamn,NO,71.0357,27.8492,55.35,82,100,4.61,overcast clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,75.16,96,89,7.0,overcast clouds
93,Camopi,GF,3.1655,-52.3158,74.8,97,98,2.35,overcast clouds
94,East London,ZA,-33.0153,27.9116,65.34,63,0,5.75,clear sky
95,Torbay,CA,47.6666,-52.7314,70.29,78,75,11.5,broken clouds
96,Atar,MR,20.5169,-13.0499,107.4,16,21,13.24,few clouds
97,Bubaque,GW,11.2833,-15.8333,81.54,80,74,11.18,broken clouds
98,Port Hardy,CA,50.6996,-127.4199,57.38,94,100,2.3,overcast clouds
99,Aasiaat,GL,68.7098,-52.8699,38.41,89,58,3.91,broken clouds
100,Makubetsu,JP,45.3714,141.8211,63.93,96,86,8.66,overcast clouds
101,Souillac,MU,-20.5167,57.5167,70.18,68,40,16.11,light rain
102,Santa Marta,CO,11.2408,-74.199,91.45,61,40,8.01,scattered clouds
103,Woodward,US,36.4337,-99.3904,90.97,49,0,5.75,clear sky
104,Pundaguitan,PH,6.3711,126.1689,81.3,77,99,5.79,overcast clouds
105,Grand Gaube,MU,-20.0064,57.6608,70.2,63,78,7.0,broken clouds
106,Busselton,AU,-33.65,115.3333,56.57,63,89,23.53,light rain
107,Solnechnyy,RU,50.7214,136.6319,67.42,93,66,4.88,broken clouds
108,Scarborough,GB,54.2797,-0.4044,69.37,67,83,3.0,broken clouds
109,Sioux Falls,US,43.55,-96.7003,82.09,68,40,10.36,scattered clouds
110,Coihaique,CL,-45.5752,-72.0662,38.01,100,100,3.44,fog
111,Acapulco,MX,16.8634,-99.8901,85.32,73,93,6.87,overcast clouds
112,Beringovskiy,RU,63.05,179.3167,49.01,91,100,13.69,overcast clouds
